iter	Passed	Remaining
0	138	138673
1	139	69585
2	140	46560
3	140	35014
4	141	28111
5	141	23502
6	142	20250
7	143	17786
8	144	15858
9	144	14313
10	145	13045
11	145	11988
12	146	11095
13	146	10329
14	147	9670
15	147	9087
16	148	8579
17	149	8132
18	149	7725
19	150	7367
20	151	7040
21	151	6741
22	152	6464
23	152	6210
24	153	5975
25	153	5759
26	154	5562
27	155	5385
28	155	5216
29	156	5056
30	156	4904
31	157	4761
32	157	4628
33	158	4501
34	158	4383
35	159	4268
36	159	4164
37	160	4064
38	161	3975
39	162	3888
40	162	3804
41	163	3724
42	163	3647
43	164	3573
44	165	3502
45	165	3432
46	166	3366
47	166	3304
48	167	3246
49	168	3194
50	168	3139
51	169	3086
52	169	3036
53	170	2985
54	170	2937
55	171	2892
56	172	2847
57	172	2803
58	173	2765
59	174	2729
60	174	2690
61	175	2652
62	175	2615
63	176	2579
64	176	2545
65	177	2512
66	178	2479
67	179	2454
68	179	2427
69	180	2399
70	181	2370
71	181	2342
72	182	2317
73	183	2290
74	183	2264
75	184	2238
76	184	2213
77	185	2188
78	186	2169
79	186	2147
80	187	2125
81	187	2103
82	188	2079
83	188	2057
84	189	2037
85	189	2017
86	190	1997
87	190	1978
88	191	1961
89	192	1946
90	193	1931
91	194	1918
92	195	1902
93	195	1886
94	196	1870
95	196	1854
96	197	1840
97	198	1826
98	199	1812
99	199	1798
100	200	1783
101	201	1769
102	201	1755
103	202	1742
104	202	1728
105	203	1714
106	204	1704
107	205	1693
108	205	1681
109	206	1669
110	206	1656
111	207	1644
112	207	1632
113	208	1620
114	208	1608
115	209	1596
116	209	1584
117	210	1575
118	211	1565
119	212	1554
120	212	1544
121	213	1533
122	213	1523
123	214	1513
124	214	1503
125	215	1494
126	215	1483
127	216	1474
128	217	1466
129	217	1457
130	218	1448
131	218	1438
132	219	1430
133	220	1421
134	220	1413
135	221	1404
136	221	1396
137	222	1388
138	223	1381
139	223	1374
140	224	1367
141	224	1358
142	225	1350
143	225	1342
144	226	1334
145	226	1327
146	227	1319
147	228	1312
148	228	1306
149	229	1300
150	230	1293
151	230	1286
152	231	1280
153	231	1273
